書名,作者,推薦度,備註,評論,Link,File
大佬，跪求裝備！,蔚藍色的鷹,★★,,,https://www.jjwxc.net/onebook.php?novelid=3722043,No
大俠，別怕,夢三生,★★★★★,,,https://www.books.com.tw/products/0010515520?srsltid=AfmBOoqhcAdbqnSduyfCDAZS_kdFEkGExRkC7driJL4nKoZPbIa1N9fQ,No
大帝姬,希行,★★,,,https://czbooks.net/n/ucobm,No
大神給我愛,未知作者,★★★,,,http://www.popo.tw/books/25135/articles,No
大神，我養你,淺淡語,★★,,,https://www.jjwxc.net/onebook.php?novelid=1305486,No
天上紅緋,月樺,★★★,,喜歡男主，腹黑XDD,http://egg19910707.blog.fc2.com/blog-entry-1366.html,No
太子妃嬌寵日常,我要成仙,★★★,,,https://czbooks.net/n/cpg8l2c,No
夫君是未來大魔王怎麼辦？,霧矢翊,★★★★,,,https://www.jjwxc.net/onebook.php?novelid=3991934,No
奪嫡不如養妹,牧荑黃黃,★★★,,,https://www.jjwxc.net/onebook.php?novelid=2949328,No
女兵英姿,江心舟,,,,https://www.banxia.la/books/162191.html,No
女兵英姿一,江心舟,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-12387.html,No
她來時冰雪消融,喻時言,★★,,男主影帝X女醫生，架構不大，就是一篇小言,https://czbooks.net/n/cp1309e,No
如果當時不放手,夢三生,★★★★★,,,https://www.books.com.tw/products/0010504795?srsltid=AfmBOoreQvX04KUw0KV4tvytnmjyC6lIeeVWQ2cv-RbdvAxWIxcAeqor,No
妃關天下,一世風流,★★★,,,https://czbooks.net/n/cifbdb,No
妖孽也成雙,東奔西顧,★★★★,,青梅竹馬型，互有意思但都不敢承認,https://www.novel543.com/0603381917/,No
妙偶天成,冬天的柳葉,★★★★,,,https://www.banxia.la/books/126071.html,No
娛樂圈養成記,晴空希藍,★★,,,https://www.banxia.la/books/196881.html,No
娥媚(丹姬),峨嵋,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-1687.html,No
婚如冬陽,錦紅鸞 (重生),★★★,,還行，就是結局...沒有很喜歡，可以看到中後就當結束了,https://ixdzs.tw/read/167969/,No
婚後越軌,鹹魚妹妹,,,,https://www.banxia.la/books/369908.html,No
嫁給前任他叔,木兮娘,★★★,,,https://www.jjwxc.net/onebook.php?novelid=3423640,No
嫁給潛力股胖子,萊弗,★,,,https://www.banxia.la/books/63015.html,No
嫡妻難惹,檸檬笑,,,,https://www.banxia.la/books/74190.html,No
嫡妻難惹一,檸檬笑,★,,,http://egg19910707.blog.fc2.com/blog-entry-14121.html,No
嫡長女,平仄客,★★★★★,,,https://www.banxia.la/books/157058.html,No
嬌女含羞,眯眼笑笑,★,,,https://www.banxia.la/books/117802.html,No
嬌娘醫經,希行,★,,,https://www.xbanxia.cc/books/138034.html,No
嬌弱作精憑武力值爆紅,防己,★★★,,書荒可看，蠻多地方不合邏輯，就是看女主上綜藝的沙雕劇情有好笑，但最後的旅行綜藝，描寫得不清不楚，有點像為了一個普遍的結為匆匆安排然後完結,https://www.jjwxc.net/onebook.php?novelid=5491785,No
嬌笙慣養,沫之茜茜,,,,https://www.banxia.la/books/182502.html,No
孤月行,張廉,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-5583.html,No
孤芳不自賞,風弄,★★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-1186.html,No
宇宙級寵愛,霧矢翊,★★,,,https://www.jjwxc.net/onebook.php?novelid=2820214,No
密室困魷魚,墨寶非寶,★★★★,,,https://www.jjwxc.net/onebook.php?novelid=2241909,No
寫文大神是影后,安然一世,★★★,,,https://www.jjwxc.net/onebook.php?novelid=2683632,No
寫文大神是影後,安然一世,,,,https://www.banxia.la/books/77014.html,No
寵後之路,笑佳人,★★★,,,https://www.jjwxc.net/onebook.php?novelid=2356301,No
將神養狐手劄,辰冰,★★★,,,https://czbooks.net/n/cpn623m,No
將軍的農家小妻,陽光小葉,★★★★,,,https://ixdzs.tw/read/149358/,No
對你不止是喜歡,陌言川,★★★★★,,同樣是追妻火葬場,https://www.xbanxia.cc/books/43534.html,No
小狼狗每天都在撩我,簡圖,★★,,前半都在野外求生，男主前期失意跟小狼狗一樣黏，後期恢復記憶後高冷男神，但都被女主吃得死死的,https://czbooks.net/n/cpmea15,No
少女甜,一字眉,★,,,https://www.banxia.la/books/28575.html,No
市井貴女,雙子座堯堯,★★★★★,,,https://www.banxia.la/books/162370.html,No
