書名,作者,推薦度,備註,評論,Link,File
老婆粉瞭解一下,春刀寒,★★★★★,,一開始不是很喜歡這個故事設定，雖然不排斥穿越劇情，但還是被我壓到了最底下，但開始看後劇情不冗，文字敘述流暢，讓人從頭笑到尾,https://czbooks.net/n/cpmk3oa,No
老婆粉瞭解一下娛樂圈,春刀寒,,,,https://www.banxia.la/books/28731.html,No
肖想你許久,九兜星,★★★,,,https://czbooks.net/n/shc0j6,No
臻璇,玖拾陸,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-10927.html,No
與天同獸,霧矢翊,★★★★,,,https://czbooks.net/n/cpp5cim,No
花漾學生會,綠草如茵,★★,,,https://www.books.com.tw/products/0010562926?srsltid=AfmBOopnaNOhsVZF6MKb5c3i06VG_eg6y64SL4V0s6Rc_hJaA83yuI8e,No
花瓶大神很菜鳥,錦竹,★,,,https://www.jjwxc.net/onebook.php?novelid=876779,No
莫負寒夏,丁墨,★★★★★,,這篇是哥哥的故事,http://egg19910707.blog.fc2.com/blog-entry-8602.html,No
菊領風騷,張廉,,,,https://czbooks.net/n/c7o6d0,No
菊領風騷一,張廉,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-4884.html,No
萌獸不易做,澤溪七君,★★,,,https://czbooks.net/n/c2o4fn,No
萬裡紅星不辜負,直上青雲,★★,,只有看到4371章，比較放在男強女強任務訓練的部份，糖灑得比較少XD後來就沒看了,https://ixdzs.tw/read/211600/,No
薄情首席的失聲前妻,夏染雪,★,,,https://www.banxia.la/books/219969.html,No
蜂舞,貓邏,★★★★★,,貓大的作品，一如往常的女強視角小說，重生而來的女主反省自己過去的不懂事，重新活出不一樣的人生，非常見的復仇線路。,https://www.eslite.com/product/1001299362734292?srsltid=AfmBOordSBFB0KgL_lMOm4CG92DWr9sRlnbsn59n3JiNCtkl6gd2zQsM,No
蜜婚,最愛梅子酒,,,,https://www.banxia.la/books/32869.html,No
蜜愛100分：不良鮮妻有點甜\恰似寒光遇驕陽,囧囧有妖,★★,,長文，中間我有跳過一大段，看到後面才會明白發生什麼事，小小暴一下雷:女主的記憶有被替換過，他們並非土生土長的華國人,https://czbooks.net/n/cp611gm,No
蜜汁燉魷魚,墨寶非寶,★★★★★,,甜寵文，推薦書啃文接著嗑電視劇。,https://www.xbanxia.cc/books/140940.html,No
蜜裡調婚,慕義,,,,https://www.banxia.la/books/132643.html,No
被氣運支配的頂流兄妹綜藝,林洛周,,,,https://www.banxia.la/books/307305.html,No
被讀心後我成了團寵,芷柚,,,,https://www.banxia.la/books/281583.html,No
被趕出豪門後，假千金她驚豔全球,青山笑談,,,,https://www.banxia.la/books/336825.html,No
見空,罪加罪,,,,https://www.banxia.la/books/33044.html,No
誘捕溫柔,企在,,,,https://www.banxia.la/books/234790.html,No
請向我告白,暴躁的螃蟹,★★★★,,,https://www.xbanxia.cc/books/34756.html,No
諾森德,時久,★★★,,,https://czbooks.net/n/coa8k1,No
謝謝你，敢與我相愛,瘋子三三,★★★,,一句話文案：人格分裂腹黑男與健康快樂小白女的溫暖愛情,https://czbooks.net/n/cp138h0,No
讓開，姐要去收租了,泉久久,,,,https://www.banxia.la/books/250104.html,No
豔色過濃,六盲星,,,,https://czbooks.net/n/cpgh453,No
豪門塑膠夫妻真好嗑,西柚99,,,,https://www.banxia.la/books/283575.html,No
豪門後媽，帶飛全家,豆包好吃,,,,https://www.banxia.la/books/347509.html,No
豪門未婚夫有了讀心術,秦皇,,,,https://www.banxia.la/books/252754.html,No
貪酒,江天一半,★★★,,,https://www.xbanxia.cc/books/141774.html,No
超級偶像學園,貓可可,★★,,,https://www.books.com.tw/products/0010591599?srsltid=AfmBOopQrxoNTqzmCQZ_pSn5i4f-LMJ8liORwvSGy6gfbEvdVNmN-n5Z,No
超級盜賊一,不是浮雲,★★,,,http://egg19910707.blog.fc2.com/blog-entry-9350.html,No
路鳥,狂言千笑,★★,,,https://czbooks.net/n/u90al,No
軍妝一,趙暖暖,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-5705.html,No
軍梟，辣寵冷妻,醉漪如軒原子彈,★,,,https://big5.quanben5.com/n/junxiao-lachonglingqi/xiaoshuo.html,No
轉角撞到神,愛打瞌睡的蟲,★★★★,,續鍊金小魔女,https://ixdzs.tw/read/12386/,No
農家團寵嬌嬌女,顧悠然,,,,https://www.banxia.la/books/226124.html,No
農家小福女,鬱雨竹,,,,https://www.banxia.la/books/208470.html,No
迷你戀人,月星汐,★★★★★,,當初是買實體書看得，很特別，有青春的悸動、對於音樂的追求，女孩的陪伴。,https://www.jjwxc.net/onebook.php?novelid=594449,No
退圈後她驚豔全球,帝歌,,,,https://www.banxia.la/books/34373.html,No
逆天女術士,抹茶奶昔,,,,https://www.banxia.la/books/116282.html,No
逆天女術士一,抹茶奶昔,★★,,,http://egg19910707.blog.fc2.com/blog-entry-14188.html,No
那就跟我回家,慕義,★★★,,,https://www.xbanxia.cc/books/164889.html,No
醫鳴驚仙,湛藍冰川,★★★,,,https://ixdzs.tw/read/135817/,No
重回我爸當校草那幾年,春風榴火,★★★★★,,"男主一直痴痴的等，因為有了一絲希望才一直在那等她，曾經有過的愛不會消逝遲早會找回的
不介意平行世界等邏輯衝突的可以看",https://www.banxia.la/books/71035.html,No
重生—獨寵無二,十方花葉,★★,,,https://www.novel543.com/0214318073/,No
重生之剎那芳華,晚風低語,★★★★,,故事平淡流暢，沒有太多常見的套路，更多著重在國家、志業的部分，感情只是其中的點綴，因為感情愛人的陪伴而互相進步。,https://czbooks.net/n/cp48791,No
重生之十年影後,倒影綽綽,★★★★,,重生的既有套路，前生嘴硬倔強，家庭帶來的傷害很大，重生後有了30歲的情商，懂得把握資源把握當下，該珍惜的要珍惜,http://egg19910707.blog.fc2.com/blog-entry-7067.html,No
重生之天才神棍,鳳今,★,,,https://www.novel543.com/0606100661/,No
重生之抱個金大腿,青芽紅豆,★★★★★,,甜寵文，雙重生，滿足了從小養成、青梅竹馬型別的文,https://czbooks.net/n/u7ibf,No
重生之星光大道,糯米白糖,★★★,,,http://egg19910707.blog.fc2.com/blog-entry-412.html,No
重生之澈溪,雪鳳凰,★★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-5454.html,No
重生之炫妻日常,雪默,★★★,,,https://czbooks.net/n/cpnl2bg,No
重生之特種兵夫人,靜夜微涼,★★,,,http://egg19910707.blog.fc2.com/blog-entry-8127.html,No
重生之貴女平妻,八匹,★★★,,,https://czbooks.net/n/ul4n2,No
重生之賊行天下,發飆的蝸牛,★★,,印象中是NP,https://uukanshu.cc/book/8036/,No
重生之超級名模,炸毛的狐狸,★★★,,,http://egg19910707.blog.fc2.com/blog-entry-2959.html,No
重生之軍醫,烤土豆,★,,,https://big5.quanben5.com/n/zhongshengzhijunyi/,No
重生之這次好好愛你,落落日,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-10340.html,No
重生八零錦繡軍婚/幽非芽/txt下載-黃金屋中文,未知作者,★★,,"好看，雖然還在連載中...
只看到3317章，暫時沒打算追了",https://tw.hjwzw.com/Book/Chapter/36448,No
重生八零：離婚後被軍少寵上天,小白蛇,,,,https://ixdzs.tw/read/572105/,No
重生天才醫女,時秋醉,★,,,http://egg19910707.blog.fc2.com/blog-entry-5393.html,No
重生娛樂圈女皇,凰然若夢,★,,,http://egg19910707.blog.fc2.com/blog-entry-6050.html,No
重生巨星歸來,水晶翡翠肉,★★,,,https://www.jjwxc.net/onebook.php?novelid=2565794,No
重生後成了皇叔的掌心寵,飛翼,,,,https://www.banxia.la/books/80334.html,No
重生成為情敵妻,舒懷,★★,,,https://czbooks.net/n/cf0n87,No
重生星光璀璨,凰然若夢,★★★,,,https://czbooks.net/n/cp95in6,No
重生星際時代,筱憶,★★★,,,https://www.novel543.com/0113462792/,No
重生末世之雙寵,白小貞,★★★,,,https://czbooks.net/n/ul75e,No
重生貴女養成,安然一世,★★★,,結尾有點草草收尾的感覺，劇情普通，人物設定有一點意思,https://czbooks.net/n/cp4cmn8,No
重生軍二代一,姜小群,★★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-6568.html,No
重生軍長嬌妻有空間,孟萱,★★★,,好看但是連載到一半後面就沒有繼續看下去了,https://ixdzs.tw/read/198255/,No
重紫,蜀客,★★★★★,,有哭點,http://egg19910707.blog.fc2.com/blog-entry-444.html,No
金夫銀婦,張廉,★★★,,,https://czbooks.net/n/c030ho,No
金絲雀馴主手冊,純白蠢白,★,,,https://czbooks.net/n/cppghd3,No
銀河盡頭的小飯館,老衲吃素,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-14645.html,No
魔戀三部曲(銀色十字夢+奇妙糖果屋+荊棘天使),夢三生,★★★★★,,,https://www.books.com.tw/products/0010524378?srsltid=AfmBOopg_Q3d_XXarSRzkJGml77-24gYEgtuxDvZ9hpo-ahRHAD5h7F1,No
錢與野男人,庭明,★★★,,老套的有錢人裝成窮人體會一般人的生活，但不一樣的是並不是隻有其中一個人是裝的，男女主都是，整篇看下來算是流暢，但反派出場的地方起伏不夠，略為平淡，就是一篇小甜文,https://www.jjwxc.net/onebook.php?novelid=3552339,No
異界大冒險,愛打瞌睡的蟲,★★★★,,來自未來的少女穿越到魔法世界,https://ixdzs.tw/read/11853/,No
長街,殊娓,,,,https://www.banxia.la/books/204496.html,No
閻王的特別助理,紫曜日,★★★★★,,,https://www.eslite.com/product/1001182411915679?srsltid=AfmBOooshRoUS48xlmTCT5e411Qg5DpF1UoQF0XFENVGDm1akr35D6vf,No
陪你到世界終結,夏茗悠,★★★,,,https://www.books.com.tw/products/0010540878?srsltid=AfmBOop7pxVR81xwCmC23tU6qTkH9czLv3VhVHK404GaV8HGR96bOGLg,No
零分答卷先婚後愛,關抒耳,,,,https://www.banxia.la/books/347650.html,No
零度領域,貓邏,★★★★★,,貓大早期成名作。,http://egg19910707.blog.fc2.com/blog-entry-3028.html,No
靈武司兵器簿,紅淵,★★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-5584.html,No
非關英雄,御我,★★★★★,,,https://www.eslite.com/product/1001182411785938?srsltid=AfmBOoowFsdKNxIm3683zupY51azTUwkY3tn1HfsnIn0Yo9YQNcXFPjI,No
韞色過濃,六盲星,★★,,,https://czbooks.net/n/cpgh453,No
頂流的小祖宗來自大唐,擇蘭,,,,https://www.banxia.la/books/239942.html,No
風動鳴,水泉,★★★★★,,,https://www.books.com.tw/products/0010230262?srsltid=AfmBOorkh9sz0ZVYQaCN_KHOHedBBtumf_QbCF9ZqlwHkhncV3m69ESR,No
首席御醫,銀河九天,★★★★,,主角身懷國家，上醫醫國，因此踏入政治圈，感情線很淺，只有淡淡地描述,https://uukanshu.cc/book/7199/,No
首輔養成日常,不要掃雪,★★★★,,甜甜的，養成,https://ixdzs.tw/read/168051/,No
高門主母穿成豪門女配,故箏,★★★★,,一篇爽文，看女主如何用智慧手段解決原主當下的窘境,https://czbooks.net/n/sklo6in6o,No
魔女後勤,無邪被推倒,★★,,,https://8book.com/novelbooks/158030/,No
魔法傳記online,夏堇,★★★,,,https://www.eslite.com/product/1001277802443421?srsltid=AfmBOoohLgjtEVkfIjyF_M4Y4u5kxXQrtReEaBKrWnAYsBddtHZuZ2eP,No
黃泉之狩,貓邏,★★★★★,,,https://www.books.com.tw/products/0010413596?srsltid=AfmBOoo3oCLBflBOtVrYtx8CVixpo_u1uQUh1Mb4FXp47vrGkkli--jD,No
黯鄉魂,張廉,★★★★,,,https://www.jjwxc.net/onebook.php?novelid=419526,No
